tweet_id,date,year,month,tweet_text,sentiment_text,text_clean,word_count,topics,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,model_confidence,sentiment
1363458197957263361,2021-02-21,2021,2021-02,The reason why Mihrimah made me proud of her is to have chased Şah Sultan out of the palace and given her a worthy lesson⭐ {{USERNAME}},The reason why Mihrimah made me proud of her is to have chased Şah Sultan out of the palace and given her a worthy lesson⭐ @user,the reason why mihrimah made me proud of her is to have chased ah sultan out of the palace and given her a worthy lesson,25,Arts & Culture|News & Social Concern,0.0069959797,0.07974875,0.91325533,0.90625936,0.91325533,Positive
1193676562584883200,2019-11-10,2019,2019-11,"Ok. Great game, great effort, we are all very proud....now what do we want. Higher pick or insignificant win over the Colts nobody will remember in 1 year? {@Travis Wingfield@}","Ok. Great game, great effort, we are all very proud....now what do we want. Higher pick or insignificant win over the Colts nobody will remember in 1 year? @user",ok great game great effort we are all very proud now what do we want higher pick or insignificant win over the colts nobody will remember in year,28,Sports,0.010994461,0.06193856,0.927067,0.91607255,0.927067,Positive
1193649311290200064,2019-11-10,2019,2019-11,Curious as to why rui diaz is wearing a sports bra in the mls cup final {{USERNAME}} {@Sid Seixeiro@},Curious as to why rui diaz is wearing a sports bra in the mls cup final @user @user,curious as to why rui diaz is wearing a sports bra in the mls cup final,16,Fitness & Health|Sports,0.07603606,0.8966219,0.027342046,-0.048694015,0.8966219,Neutral
1258939264550699008,2020-05-09,2020,2020-05,Alex Newell Celebrates Moms in ‘Mama Told Me’ Music Video {{URL}} via {@JustJared com@} {@ADAM LAMBERT@} and his mom,Alex Newell Celebrates Moms in ‘Mama Told Me’ Music Video http via @user @user and his mom,alex newell celebrates moms in mama told me music video via and his mom,14,Celebrity & Pop Culture|Family|Music,0.001806441,0.20518751,0.793006,0.79119956,0.793006,Positive
1299979920035262465,2020-08-30,2020,2020-08,Brand new interview with Cuban Pete on {{USERNAME}} from last night/this morning {{URL}},Brand new interview with Cuban Pete on @user from last night/this morning http,brand new interview with cuban pete on from last night this morning,12,Celebrity & Pop Culture|Film Tv & Video,0.0030860407,0.8717214,0.12519254,0.1221065,0.8717214,Neutral
1310123721626128385,2020-09-27,2020,2020-09,"rap line shading the guys who broke their hearts & then, vocal line coming through slapping us with emotions in Love sick girls . {@BLACKPINKOFFICIAL@}","rap line shading the guys who broke their hearts & then, vocal line coming through slapping us with emotions in Love sick girls . @user",rap line shading the guys who broke their hearts then vocal line coming through slapping us with emotions in love sick girls,22,Music,0.8255518,0.16315787,0.011290263,-0.81426156,0.8255518,Negative
1198292230156374016,2019-11-23,2019,2019-11,"Hi {@Maldivian@} , a 2 hour delay can t be accepted. {{USERNAME}} men kon sakaraathehtha thijahanee?","Hi @user , a 2 hour delay can t be accepted. @user men kon sakaraathehtha thijahanee?",hi a hour delay can t be accepted men kon sakaraathehtha thijahanee,12,Travel & Adventure,0.84690315,0.14744593,0.005650901,-0.84125227,0.84690315,Negative
1271108280018964483,2020-06-11,2020,2020-06,Check out {@Broadcast Music Inc@} ’s 2020 #PridePlaylist featuring #BMIFamily {@Arlo Parks@} {@samsmith@} {@MIKA@} {@Elton John@} {@YUNGBLUD s a FLEABAG@} {@Bebe Rexha@} {@Todrick Hall@} #PrincessNokia ️‍ Happy Pride Month! {{URL}},Check out @user ’s 2020 #PridePlaylist featuring #BMIFamily @user @user @user @user @user @user @user #PrincessNokia ️‍ Happy Pride Month! http,check out s prideplaylist featuring bmifamily princessnokia happy pride month,10,Celebrity & Pop Culture|Music|News & Social Concern,0.0012623232,0.02202793,0.9767097,0.9754474,0.9767097,Positive
1241695124461170689,2020-03-22,2020,2020-03,. {{USERNAME}} Caller reports that a car pulled up to the drive thru at Springhill Liquors and a male got out of car and started urinating and walked around the car urinating on it.,. @user Caller reports that a car pulled up to the drive thru at Springhill Liquors and a male got out of car and started urinating and walked around the car urinating on it.,caller reports that a car pulled up to the drive thru at springhill liquors and a male got out of car and started urinating and walked around the car urinating on it,32,News & Social Concern,0.2467869,0.7393135,0.013899608,-0.2328873,0.7393135,Neutral
1249483580297920513,2020-04-12,2020,2020-04,I’m watching Jesus Christ Superstar virtually with {{USERNAME}} {{USERNAME}} and our parents and our group chat is LIT,I’m watching Jesus Christ Superstar virtually with @user @user and our parents and our group chat is LIT,i m watching jesus christ superstar virtually with and our parents and our group chat is lit,17,Film Tv & Video,0.0022173412,0.044210527,0.9535721,0.95135474,0.9535721,Positive
