tweet_id,created_at,tweet_text,topics_raw
1190960223571329025,2019-11-03,The perfect halloween decoration does not exi... {{URL}} via {@9GAG@},[]
1363458197957263361,2021-02-21,The reason why Mihrimah made me proud of her is to have chased Şah Sultan out of the palace and given her a worthy lesson⭐ {{USERNAME}},"[""arts_&_culture"", ""news_&_social_concern""]"
1193676562584883200,2019-11-10,"Ok. Great game, great effort, we are all very proud....now what do we want. Higher pick or insignificant win over the Colts nobody will remember in 1 year? {@Travis Wingfield@} ","[""sports""]"
1193649311290200064,2019-11-10,Curious as to why rui diaz is wearing a sports bra in the mls cup final {{USERNAME}} {@Sid Seixeiro@},"[""fitness_&_health"", ""sports""]"
1258939264550699008,2020-05-09,Alex Newell Celebrates Moms in ‘Mama Told Me’ Music Video {{URL}} via {@JustJared com@} {@ADAM LAMBERT@} and his mom,"[""celebrity_&_pop_culture"", ""family"", ""music""]"
1299979920035262465,2020-08-30,Brand new interview with Cuban Pete on {{USERNAME}} from last night/this morning {{URL}},"[""celebrity_&_pop_culture"", ""film_tv_&_video""]"
1310123721626128385,2020-09-27,"rap line shading the guys who broke their hearts & then, vocal line coming through slapping us with emotions in  Love sick girls . {@BLACKPINKOFFICIAL@} ","[""music""]"
1198292230156374016,2019-11-23,"Hi {@Maldivian@} , a 2 hour delay can t be accepted. {{USERNAME}} men kon sakaraathehtha thijahanee?","[""travel_&_adventure""]"
1271108280018964483,2020-06-11,Check out {@Broadcast Music Inc@} ’s 2020 #PridePlaylist featuring #BMIFamily {@Arlo Parks@} {@samsmith@} {@MIKA@} {@Elton John@} {@YUNGBLUD s a FLEABAG@} {@Bebe Rexha@} {@Todrick Hall@} #PrincessNokia ️‍ Happy Pride Month! {{URL}},"[""celebrity_&_pop_culture"", ""music"", ""news_&_social_concern""]"
1241695124461170689,2020-03-22,. {{USERNAME}} Caller reports that a car pulled up to the drive thru at Springhill Liquors and a male got out of car and started urinating and walked around the car urinating on it.,"[""news_&_social_concern""]"
1249483580297920513,2020-04-12,I’m watching Jesus Christ Superstar virtually with {{USERNAME}} {{USERNAME}} and our parents and our group chat is LIT,"[""film_tv_&_video""]"
1195944195518648321,2019-11-17,watermelon sugar makes me feel like i belong on the beach in the 80s playing volleyball and jamming out with my friends. i love it S O much. thank u for this gem. {@Harry Styles@} kiwi truly did walk. #HarryOnSNL,"[""celebrity_&_pop_culture"", ""film_tv_&_video"", ""music""]"
1170758591818665984,2019-09-08,100 photos from Women s 3-nations final game – in Salo. {{URL}} #floorball #salibandy {{USERNAME}} {{USERNAME}},"[""sports""]"
1218821656187219968,2020-01-19,"The world would pay millions to watch connor mcgregor fight a peacock. Why don’t they put him in there with a real fighter? The lady driller, the dancing thriller, the keyboard twitter killer, steeeeevveee steeeeeel. {{USERNAME}} ","[""celebrity_&_pop_culture"", ""sports""]"
1406610608464728065,2021-06-20,Happy Father’s Day to my baby daddy {@BTS_twt@} Taehyung! The kids got you gifts come home,"[""diaries_&_daily_life"", ""family"", ""relationships""]"
1290074801726349312,2020-08-02,I noticed today in store {@Asda@} that all of the social distancing markers on the floors have been removed. Just in time for the second wave,"[""business_&_entrepreneurs"", ""diaries_&_daily_life"", ""news_&_social_concern""]"
1211375549450461184,2019-12-29,I love this song  The size of Wales  off this new album by {{USERNAME}} {{URL}},"[""music""]"
1221311284202876929,2020-01-26,Check out what I just listed on Mercari. Tap the link to sign up and get $10 off. ⁦ {@Official Hobby Lobby@} ⁩ {{USERNAME}} #hobbylobby #mercari #print #prints #frames #decor #homedecor #resale {{URL}},"[""business_&_entrepreneurs""]"
1272455332170567684,2020-06-15,chanyeol i love youuuu #LSHftPCY_Regards #6시_이선희_찬열_안부 #CHANYEOL #찬열 {@EXO@},"[""relationships""]"
1300130425948581889,2020-08-30,"￼Morning jog, going up the wall, migraines are being returned back home￼ {{URL}} via {@facebookwatch@} ","[""diaries_&_daily_life""]"
1340536013475725312,2020-12-20,Gallagher may aswell have a 3rd pop...let’s see him in with a bigger banger {@Callum CJ Johnson@},"[""celebrity_&_pop_culture""]"
1183375800718057472,2019-10-13,Oh my god. Teddy from {@Brooklyn Nine Nine@} is in Breaking Bad. Amy and Jake had the AUDACITY to call him boring?!,"[""film_tv_&_video""]"
1344794442222469120,2020-12-31,Happy New Year to {@MOUZ@} really love you {@ropz@} {@Chris de Jong@} {@karrigan@} {@Bymas@} {@David eransk@},"[""diaries_&_daily_life"", ""relationships""]"
1198497005116567553,2019-11-24,Harry Styles Features an Ex-Girlfriend’s Voice On His New Album {{URL}} via {@Just Jared Jr@},"[""celebrity_&_pop_culture"", ""music""]"
